Dataset,DW_Time,DW_Memory,DW_AUC_mean,CP_Time,CP_Memory,CP_AUC_mean,DW_Tail_Gap,CP_Tail_Gap
Cora,11.346747398376465,20.328966,0.9953192746827837,210.05399298667908,170.568266,0.9795956087930767,0.05265407552411938,0.07428611963488496
Citeseer,13.309607744216919,24.777062,0.9990396360731982,243.45151448249817,207.685541,0.9699277975706847,0.22338280862896487,0.12366832599860522
DBLP,83.02851438522339,134.082583,0.9976887891968735,1374.0617260932922,1120.709519,0.9700044129508455,0.12919636426383774,0.05094752341646358
